#OTU ID,WAS_76,R1_76,R2_76,R3_76,WAS_121,R1_121,R2_121,R3_121,WAS_160,R1_160,R2_160,R3_160,WAS_196,R1_196,R2_196,R3_196
fe299cd42d8fce9afc129c53dde83d1a,0,0,0,0,0.003588649,0.003091517,0.002744803,0.002443889,0,0,0,0,0,0,0,0
6926ffe4c20511bf0d5b7f609a6f799d,0,0,0,0,0.009338802,0.003070343,0.003286771,0.003360348,0,0,0,0,0,0,0,0
efc0a877d3a2a6efaa59165217e70291,0,0,0,0,0,0.003070343,0.002639906,0.002893134,0,0,0,0,0,0,0,0
3fca3937ac575df788a899ebe8f90e56,0,0,0,0,0.005376046,0.003006818,0.00241263,0.002605617,0,0,0,0,0,0,0,0
59b56ca1a1a3cc99e3c5ac7d007660d9,0,0,0,0,0.005085075,0.002985644,0.003583979,0.003504106,0,0,0,0,0,0,0,0
8a0c7391c529afe2e461fb202e552959,0,0,0,0,0.005292911,0.002795071,0.003146908,0.003468167,0,0,0,0,0,0,0,0
602cd900b0829c0ac86c25928869d73c,0,0,0,0,0.001385579,0.002668022,0.002884666,0.002569678,0,0,0,0,0,0,0,0
d2fd01c53ae7beede097bc15ef5ad6ca,0,0,0,0,0.007980934,0.002668022,0.002657389,0.00238998,0,0,0,0,0,0,0,0
53855b7e21e1a247baeb3ea82e63dc1e,0,0,0,0,0.009421936,0.002583323,0.002377664,0.002893134,0,0,0,0,0,0,0,0
66a4e3227ba07de619f65f7064b9f2df,0,0,0,0,0,0.002583323,0.003111943,0.002803285,0,0,0,0,0,0,0,0
a445ba276240d06b934e265b4ea40f30,0,0,0,0,0.00236934,0.002562148,0.002395147,0.001814947,0,0,0,0,0,0,0,0
05d88f4a81396b7880747cb6f0e04fc9,0,0,0,0,0.003269966,0.002540973,0.002150387,0.002210282,0,0,0,0,0,0,0,0
9111f790273cb0010f3ac0eaf33fb5b6,0,0,0,0,0.001094607,0.002540973,0.00229025,0.002318101,0,0,0,0,0,0,0,0
4c9153289bee49cd25b447413601e285,0,0,0,0,0,0.002519798,0.001818214,0.002336071,0,0,0,0,0,0,0,0
